模式	频数
3,2,12	239
7,4,3,0,8,2	29
11,3,0,2	136
11,5,4,3,8,2,12	22
11,1,5,6,3,0,8	23
11,5,6,8,2	75
11,5,4,6,10,8,2	17
9,6,3,8,2,12	34
11,1,5,7,6,3,8	23
11,3,0,8	129
11,6,3,8,2,12	33
1,4,6,10,0,8,2	22
11,1,5,6,3,0,2	24
11,1,5,7,6,3,2	20
11,4,6,3,10,2,12	18
1,4,3,0,8,2,12	24
5,7,6,3,0,2	39
5,6,3,0	141
1,7,3,8,2,12	27
1,5,9,7,3,8,12	17
1,7,10,8,2,12	27
5,7,6,3,0,8	29
11,5,4,10,8,2,12	19
9,6,10,8,2,12	29
11,6,3,10,8	65
1,6,10,0,2	72
1,7,6,0,8,12	28
9,7,4,8,12	52
7,4,10,0,8,2	27
11,1,5,7,6,3,0	21
11,6,3,10,2	58
1,9,4,10	127
11,5,4,6,0,8,12	17
1,9,4,12	119
11,6,3,10,0	63
1,6,0,2,12	72
11,9,7,10,2,12	30
11,7,4,0,2	68
5,4,6,3,2,12	36
11,5,7,6,0,8,2	22
5,9,3,0,2	77
5,9,3,0,8	59
1,9,3,10,12	56
0	948
1,5,7,3,0	70
1	993
11,4,6,3,10,0,12	17
5,3,10,0,2,12	39
9,7,4,6,12	60
2	935
1,5,7,3,2	71
4,6,3,10,0,2,12	17
3	974
4	979
5	990
1,9,7,10	118
6	978
1,9,7,12	116
1,4,6,3,0,8,2	25
7	989
8	937
1,6,10,0,8	71
1,5,7,3,8	60
9	990
11,9,4,6,3,0,8	22
11,9,0,2,12	68
5,4,6,0,8,2,12	19
11,1,3,10,12	65
11,9,4,6,3,0,2	19
1,9,4,0,8,2	40
5,6,3,8	130
9,0,8,2,12	61
11,9,7,3,8,2	38
11,7,6,0,8,2,12	19
4,3,0,2	131
11,4,3,8,2	72
5,6,3,2	143
11,4,10,0,12	65
11,6,10,8,2,12	27
11,1,5,9,4,0,8,12	16
1,5,7,4,0	65
4,3,0,8	112
9,7,4,6,10	62
1,5,7,4,2	68
1,7,6,10,8,2	29
1,9,6,12	116
1,5,7,4,3	58
11,9,10,0,2	66
5,4,6,3,10,8,2	17
1,5,7,4,6	64
1,5,7,4,8	58
1,9,6,10	128
11,9,10,0,8	68
11,7,4,0,8	61
11,9,7,10,0,12	35
11,1,5,3,0,12	39
11,5,9,7,6,12	29
11,1,9,6,10,8,12	16
11,5,9,7,6,10	24
5,4,6,3,8,12	29
11,1,9,12	128
11,1,9,10	136
11,5,10,2	139
11,5,10,8	124
11,7,3,10,2,12	25
1,7,3,0,12	61
11,5,10,0	143
11,5,4,0,8,12	35
7,4,6,3,10,8	28
11,7,4,3,2	66
1,4,6,10,8,12	34
11,7,4,3,0	64
11,5,9,6,3,0,12	17
11,4,10,2,12	66
11,9,4,3,10,12	27
9,3,0,8,12	54
5,7,4,6,10,12	23
9,7,4,3,10	51
7,6,10,8	117
9,7,4,3,12	55
1,9,8,12	115
